"","STATUS","mice","variables","value"
"1","NS",34,"FGF21",748.953571899753
"2","NS",34,"IL-10",8.90773774884045
"3","NS",34,"IL-1β",4.1473386234722
"4","NS",34,"IL-6",37.6639428593024
"5","NS",34,"Insulin",306.8663552351
"6","NS",34,"Leptin",1729.9743705056
"7","NS",34,"MCP-1",34.3374915759164
"8","NS",34,"RANTES",23.9560799342488
"9","NS",34,"TNF-α",7.27692122869504
"10","NS",36,"FGF21",379.110438712798
"11","NS",36,"IL-10",5.23069065347285
"12","NS",36,"IL-1β",11.2689404351223
"13","NS",36,"IL-6",63.7694420665383
"14","NS",36,"Insulin",264.528972931846
"15","NS",36,"Leptin",2489.02074314473
"16","NS",36,"MCP-1",42.0695145188219
"17","NS",36,"RANTES",20.1401817518317
"18","NS",36,"TNF-α",8.59957485217494
"19","NS",37,"FGF21",853.556178245718
"20","NS",37,"IL-10",9.19568958782723
"21","NS",37,"IL-1β",3.4599731166118
"22","NS",37,"IL-6",7.73935975576513
"23","NS",37,"Insulin",215.069909447751
"24","NS",37,"Leptin",2353.14861396152
"25","NS",37,"MCP-1",22.7740760787795
"26","NS",37,"RANTES",22.8647293583847
"27","NS",37,"TNF-α",7.92093653189572
"28","NS",42,"FGF21",661.935236972085
"29","NS",42,"IL-10",12.4552720603586
"30","NS",42,"IL-1β",3.84741321115205
"31","NS",42,"IL-6",11.6821723170592
"32","NS",42,"Insulin",286.607103365594
"33","NS",42,"Leptin",1750.8395772023
"34","NS",42,"MCP-1",28.108480719841
"35","NS",42,"RANTES",19.1880638358969
"36","NS",42,"TNF-α",8.61342654883683
"37","NS",44,"FGF21",2052.10425531972
"38","NS",44,"IL-10",17.1192152292733
"39","NS",44,"IL-1β",1.96457245443609
"40","NS",44,"IL-6",34.4531056786783
"41","NS",44,"Insulin",481.9973516952
"42","NS",44,"Leptin",2565.54681067939
"43","NS",44,"MCP-1",34.8237554209767
"44","NS",44,"RANTES",19.9944271352032
"45","NS",44,"TNF-α",9.39618643906497
"46","S",34,"FGF21",122.582337683531
"47","S",34,"IL-10",161.230610189405
"48","S",34,"IL-1β",11.9070711317624
"49","S",34,"IL-6",217.470885124296
"50","S",34,"Insulin",NA
"51","S",34,"Leptin",19.08670889512
"52","S",34,"MCP-1",67.2119727782241
"53","S",34,"RANTES",38.3338825399366
"54","S",34,"TNF-α",215.638087984309
"55","S",37,"FGF21",27183.5161304135
"56","S",37,"IL-10",170.241113110383
"57","S",37,"IL-1β",2.35963103418159
"58","S",37,"IL-6",28.958581078303
"59","S",37,"Insulin",70.9584870889843
"60","S",37,"Leptin",438.286432135801
"61","S",37,"MCP-1",42.4562266147608
"62","S",37,"RANTES",88.9806862869673
"63","S",37,"TNF-α",121.378460994486
"64","S",42,"FGF21",10579.9269933239
"65","S",42,"IL-10",36.8496773629167
"66","S",42,"IL-1β",16.072679866271
"67","S",42,"IL-6",141.857056004882
"68","S",42,"Insulin",183.47127583501
"69","S",42,"Leptin",716.147892335365
"70","S",42,"MCP-1",96.2608775274205
"71","S",42,"RANTES",96.1204502348795
"72","S",42,"TNF-α",183.855804975799
"73","S",44,"FGF21",204.778860654001
"74","S",44,"IL-10",43.1634166798217
"75","S",44,"IL-1β",23.668340496643
"76","S",44,"IL-6",180.28816391218
"77","S",44,"Insulin",NA
"78","S",44,"Leptin",NA
"79","S",44,"MCP-1",47.5858974323284
"80","S",44,"RANTES",28.2197389111521
"81","S",44,"TNF-α",542.754759404154
"82","S",36,"FGF21",64725.4498867658
"83","S",36,"IL-10",105.786824636379
"84","S",36,"IL-1β",17.4849554473656
"85","S",36,"IL-6",126.53074366196
"86","S",36,"Insulin",72.5508803712878
"87","S",36,"Leptin",595.284220295345
"88","S",36,"MCP-1",34.558891454468
"89","S",36,"RANTES",417.864581107409
"90","S",36,"TNF-α",40.4280145679615
