dataset,sex,variable,number_of_bp
c57,female,BW,1
c57,female,LEAN,1
c57,female,FAT,1
c57,female,GLY,2
c57,female,BT,1
c57,female,P0,0
c57,female,P1,0
c57,female,P3,0
c57,female,P5,1
c57,female,VO2Dm,1
c57,female,VO2Nm,1
c57,female,VCO2Dm,0
c57,female,VCO2Nm,1
c57,female,RERDm,1
c57,female,RERNm,1
c57,female,EEDm,1
c57,female,EENm,1
c57,female,FIDs,0
c57,female,FINs,2
c57,female,WIDs,1
c57,female,WINs,1
c57,female,ACTDm,1
c57,female,ACTNm,1
c57,female,ACTZDs,1
c57,female,ACTZNs,1
c57,female,ACTTOTs,1
c57,female,ACTZTOTs,1
c57,female,RERTOTm,0
c57,female,EETOTs,1
c57,female,FITOTKCALs,0
c57,female,WITOTs,1
c57,female,FATPROP,1
c57,female,LEANPROP,1
c57,female,EB,0
c57,female,FAOX,0
c57,male,BW,1
c57,male,LEAN,1
c57,male,FAT,1
c57,male,GLY,1
c57,male,BT,1
c57,male,P0,1
c57,male,P1,1
c57,male,P3,0
c57,male,P5,0
c57,male,VO2Dm,1
c57,male,VO2Nm,0
c57,male,VCO2Dm,1
c57,male,VCO2Nm,0
c57,male,RERDm,0
c57,male,RERNm,0
c57,male,EEDm,2
c57,male,EENm,0
c57,male,FIDs,0
c57,male,FINs,0
c57,male,WIDs,1
c57,male,WINs,0
c57,male,ACTDm,0
c57,male,ACTNm,0
c57,male,ACTZDs,1
c57,male,ACTZNs,0
c57,male,ACTTOTs,0
c57,male,ACTZTOTs,0
c57,male,RERTOTm,0
c57,male,EETOTs,2
c57,male,FITOTKCALs,0
c57,male,WITOTs,0
c57,male,FATPROP,1
c57,male,LEANPROP,2
c57,male,EB,0
c57,male,FAOX,0
c57,female,BW,1
c57,female,LEAN,1
c57,female,FAT,1
c57,female,GLY,2
c57,female,BT,1
c57,female,P0,0
c57,female,P1,0
c57,female,P3,0
c57,female,P5,1
c57,female,VO2Dm,1
c57,female,VO2Nm,1
c57,female,VCO2Dm,0
c57,female,VCO2Nm,1
c57,female,RERDm,1
c57,female,RERNm,1
c57,female,EEDm,1
c57,female,EENm,1
c57,female,FIDs,0
c57,female,FINs,2
c57,female,WIDs,1
c57,female,WINs,1
c57,female,ACTDm,1
c57,female,ACTNm,1
c57,female,ACTZDs,1
c57,female,ACTZNs,1
c57,female,ACTTOTs,1
c57,female,ACTZTOTs,1
c57,female,RERTOTm,0
c57,female,EETOTs,1
c57,female,FITOTKCALs,0
c57,female,WITOTs,1
c57,female,FATPROP,1
c57,female,LEANPROP,1
c57,female,EB,0
c57,female,FAOX,0
