"variable","c57_m_no_me","c57_f_no_me","c57_no_me","akrj_f_no_me","c57_m_me","c57_f_me","c57_me","akrj_f_me"
"BW","No BP","-227.99","-265","-25.54","-189.02, -22.5","-200.01","-205.77, -18.71","-229.99, -27.43"
"BT","-14.08","-23.32","-328, -12","-23.76","-255, -11.65","-28.27","-21.44","-30"
"EEDm","No BP","-16","-15.1","-34.77","-181.01, -11.16","-313.77, -16.01","-15.1","conv_error"
"EENm","No BP","-269, -17.85","-268, -15.1","-35.12","No BP","-41.73","-57, -15.1","-40.48"
"EREDm","No BP","-268.26, -18","-264, -16","-34.84","No BP","-260, -16.85","-18","-41.67"
"FAT","-20.99","-210.18, -61.99","-263.31, -63","-38.65","-72","-200, -61.92","-200, -61.17","-44.31"
"FIDs","No BP","No BP","No BP","No BP","No BP","No BP","-177","conv_error"
"FINs","-27","-32.99","-31","-37.24","No BP","conv_error","-30.47","-37.24"
"GLY","-31.46","-339, -24.1","-328, -24.39","-72.49, -21","-143.55, -29.99","-350, -37.26","-328, -29.7","-28"
"LEAN","No BP","-93.02","-110.36","No BP","No BP","-100.33","-93","No BP"
"P0","-11.99","No BP","No BP","-12.99","-20.55","No BP","No BP","-12.99"
"P1","No BP","No BP","No BP","-49.5","-113.99","No BP","No BP","-34"
"P3","No BP","No BP","No BP","-30.91","No BP","No BP","No BP","-30.93"
"P5","-68","-17.32","-317.84, -19",NA,"-150.01","-79.99, -19.21","-49",NA
"RERDm","-141","-20.99","-338.3, -21","No BP","No BP","-56.55","-136","No BP"
"RERNm","No BP","-73.94","-45","-43.99","-57.08","-44.98","-45","-44.2"
"VCO2Dm","No BP","-16","-15.1","-37.17","No BP","-16.01","No BP","conv_error"
"VCO2Nm","No BP","-268.21, -17.99","-265, -15.25","-36.55","No BP","-37.78","-304.69, -17.44","conv_error"
"VO2Dm","No BP","-308, -16","-15.1","-36.55","No BP","-16","-15.1","conv_error"
"VO2Nm","No BP","-269, -16.02","-264.92, -15.1","-34.49","No BP","-17.49","-16.42","-39.16"
"WIDs","-53.99","-56","-34","No BP","No BP","-241.21, -52","-239, -36.97","No BP"
"WINs","No BP","No BP","No BP","-35","No BP","conv_error","No BP","-35"
"XYDs","-79","-248","-304","No BP","-79","-42.76","-304","-105"
"XYNs","No BP","-145.98","-146","-45","No BP","-63.49","-64.36","-44.52"
"ZDs","-65.02","-241.49, -34.02","-248","No BP","-34.99","-247.99, -57.84","-252.9, -58","conv_error"
"ZNs","No BP","-103.99","-104","-41.02","No BP","-82.01","-83","-40.99"
"XYTOTs","No BP","-124.01","-124","-44.99","No BP","-62","-269.22, -62","-40.7"
"ZTOTs","No BP","-104.01","-104","-41","-214.03","-82.01","-82","-40.99"
"XYZTOTs","No BP","-123.99","-124","-45.01","No BP","-63.39","-262.49, -62","-40.83"
"XYZDs","-76","-248.01","-282","No BP","-78.16","-46","-302.52","-109.99"
"XYZNs","-15.35","-124","-124","-44.15","-60.01","-65.05","-80.35","-43.2"
"RERTOTm","No BP","No BP","No BP","-62.01","No BP","No BP","conv_error","-62"
"EETOTs","No BP","-307.03, -16.06","-268, -15.1","-34.86","No BP","-312.92, -16.02","-310.6, -15.1","-41.47"
"EEDs","No BP","-15.99","-15.1","-34.77","No BP","-313.69, -16.01","-15.1","-41.65"
"EENs","No BP","-269.01, -17.83","-264, -15.1","-35.11","No BP","-41.66","-177","-40.48"
"FIDKCALs","No BP","No BP","No BP","No BP","No BP","No BP","-30.47","conv_error"
"FINKCALs","-26.99","-30.98","-31","-37.24","No BP","conv_error","-36.28","-37.25"
"FITOTKCALs","No BP","-37.99","-30.39","-40","No BP","-35.99","-203","-39.84"
"WITOTs","-139","No BP","No BP","-35.01","No BP","-214.99","No BP","-35.02"
"EB","No BP","No BP","No BP","-43.84","No BP","No BP","-200.46, -62","-43.85"
"FAOX","No BP","No BP","No BP","No BP","No BP","No BP","conv_error","No BP"
"FATPROP","-31.43","-243.01, -66.81","-263.53, -63","-39.01","-54.01","-200.12, -62.01","No BP","-43.56"
"LEANPROP","-23.01","-210.99, -74.83","-263.69, -80","-34","-81","-196.01, -64.97","No BP","-191.02, -36.56"
"XYDm",NA,"-247.98",NA,"No BP",NA,"-42.75",NA,"-104.99"
"XYNm",NA,"-145.99",NA,"-45.01",NA,"-78.59",NA,"-44.52"
